country,status,item type,application,width,product_ref,quantity_tons_log,customer_log,thickness_log,selling_price_log,item_date_day,item_date_month,item_date_year,delivery_date_day,delivery_date_month,delivery_date_year
28.0,1,1.0,10.0,1500.0,1670798778,3.9917790003727465,17.221904679817747,0.6931471805599453,6.74993119378857,1,4,2021,1,7,2021
25.0,1,1.0,41.0,1210.0,1668701718,6.6438220753329915,17.223449762381453,-0.2231435513142097,6.953684210870537,1,4,2021,1,4,2021
25.0,1,1.0,41.0,1265.0,1668701718,5.419608358126058,17.223449762381453,0.4054651081081644,6.890609120147166,1,4,2021,1,4,2021
30.0,2,1.0,41.0,1125.0,611993,1.2592029299292045,17.223667300334384,-0.9675840262617056,6.666862490551294,1,4,2021,1,7,2021
38.0,1,0.0,10.0,1275.0,1668701376,4.2351473077012844,17.228024597355837,-0.5108256237659907,7.217443431696533,1,4,2021,1,7,2021
25.0,1,1.0,41.0,1165.0,1668701718,6.446714430468964,17.223449762381453,0.4054651081081644,6.890609120147166,1,4,2021,1,4,2021
30.0,2,1.0,41.0,1125.0,611993,2.216566313798011,17.223667300334384,-0.9675840262617056,6.666862490551294,1,4,2021,1,7,2021
78.0,1,1.0,10.0,1250.0,164141591,3.3146420722942396,17.22221040658372,-0.2876820724517809,7.001245622069476,1,4,2021,1,7,2021
27.0,1,0.0,10.0,1010.0,628377,3.473062649022937,17.223430691207234,-0.5108256237659907,6.880384082186005,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.342896513033331,17.225724402217104,-0.5108256237659907,7.1372784372603855,1,4,2021,1,7,2021
30.0,1,1.0,41.0,1265.0,611993,4.31914532174127,17.221811892271877,-0.5191938734365074,7.0577774482256155,1,4,2021,1,4,2021
30.0,1,1.0,10.0,900.0,611993,3.0352949253549735,17.223724002726826,-0.7985076962177716,7.181736420866684,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.7883382097639218,17.225724402217104,-0.2231435513142097,7.084226422097916,1,4,2021,1,7,2021
30.0,1,1.0,41.0,1265.0,611993,4.267835268244499,17.221811892271877,-0.5191938734365074,7.05730395725399,1,4,2021,1,4,2021
25.0,1,1.0,41.0,1275.0,1668701718,6.156636088667533,17.223449762381453,0.9162907318741551,6.88653164253051,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.653493632232036,17.225724402217104,-0.5108256237659907,7.142827401161621,1,4,2021,1,7,2021
30.0,1,1.0,41.0,1265.0,611993,4.373666666187563,17.221811892271877,-0.5191938734365074,7.051933541998048,1,4,2021,1,4,2021
25.0,1,1.0,41.0,1025.0,1670798778,5.190636361190848,17.223449762381453,0.4054651081081644,6.821107472256465,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.768077933286054,17.225724402217104,-0.2231435513142097,7.0967213784947605,1,4,2021,1,7,2021
78.0,1,0.0,28.0,912.0,628377,6.664945202498665,17.221775643761838,0.03922071315328133,6.772599710955681,1,4,2021,1,4,2021
30.0,1,1.0,41.0,1207.0,611993,4.595717640008473,17.221811892271877,-0.5191938734365074,7.027314514039777,1,4,2021,1,4,2021
25.0,1,1.0,41.0,1500.0,1670798778,5.221164449404885,17.223449762381453,1.3862943611198906,6.773080375655535,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1250.0,611993,2.2846658713334724,17.225724402217104,0.0,7.078341579557671,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1132.0,628377,4.6290993150039155,17.221775643761838,0.03922071315328133,6.77030765650155,1,4,2021,1,4,2021
30.0,1,1.0,41.0,1207.0,611993,4.327539603233146,17.221811892271877,-0.5191938734365074,7.057975387080368,1,4,2021,1,4,2021
25.0,1,1.0,41.0,1445.0,1670798778,5.191425199622153,17.223449762381453,1.0986122886681098,6.76849321164863,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1500.0,611993,2.6247876546401585,17.225724402217104,0.0,7.084226422097916,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1175.0,628377,5.336463976616768,17.221775643761838,0.03922071315328133,6.76455443034113,1,4,2021,1,4,2021
32.0,1,0.0,15.0,1000.0,1671863738,3.3676728868226444,17.229818897973214,1.0986122886681098,6.9440872082295275,1,4,2021,1,7,2021
25.0,1,1.0,41.0,1465.0,1670798778,4.529554598722833,17.223449762381453,1.6094379124341003,6.731018100482083,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.9624949281410355,17.225724402217104,-0.6931471805599453,7.180069874302796,1,4,2021,1,7,2021
78.0,1,0.0,28.0,966.0,628377,3.8016020810278617,17.221775643761838,0.03922071315328133,6.771454340417674,1,4,2021,1,4,2021
77.0,1,0.0,4.0,1300.0,164141591,3.9638158929082823,17.22209874973084,-0.2231435513142097,6.97914527506881,1,4,2021,1,6,2021
25.0,1,1.0,41.0,1260.0,1670798778,4.0927992907382,17.223449762381453,3.0812460486415887,7.027314514039777,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.395290536142576,17.225724402217104,-0.5978370007556204,7.160845906664299,1,4,2021,1,7,2021
78.0,1,0.0,28.0,900.0,628377,6.292966146807646,17.221775643761838,-0.7985076962177716,6.806364650661422,1,4,2021,1,4,2021
77.0,1,0.0,4.0,1300.0,164141591,4.040088161114003,17.22209874973084,0.09531017980432493,6.954638864880987,1,4,2021,1,6,2021
25.0,1,1.0,10.0,1208.0,611993,3.906096588861824,17.223295096592608,-0.3285040669720361,7.197435354096591,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.8155899431204636,17.225724402217104,-0.5978370007556204,7.15305163493748,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1022.0,628377,5.203516686826498,17.221775643761838,0.22314355131420976,6.74120470390038,1,4,2021,1,4,2021
77.0,1,0.0,4.0,1300.0,164141591,3.2784162363645155,17.22209874973084,-0.2231435513142097,6.970730078143525,1,4,2021,1,6,2021
78.0,1,0.0,59.0,900.0,640665,4.889477426595752,17.227854880988264,0.5877866649021191,6.747586526829315,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1000.0,611993,2.290952160140748,17.225724402217104,-0.5108256237659907,7.141245122350491,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1234.0,628377,4.8424233382680075,17.221775643761838,0.23111172096338664,6.736468613208144,1,4,2021,1,4,2021
77.0,1,0.0,4.0,1300.0,164141591,3.3229915278280857,17.22209874973084,0.09531017980432493,6.952728644624869,1,4,2021,1,6,2021
78.0,1,0.0,59.0,800.0,640665,3.4307545538052837,17.227854880988264,1.0986122886681098,6.740519359606223,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1100.0,611993,2.881606489368068,17.225724402217104,-0.7985076962177716,7.194436851100335,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1170.0,628377,5.9179679208904,17.221775643761838,-0.7985076962177716,6.788498658132199,1,4,2021,1,4,2021
28.0,1,1.0,38.0,1005.0,611993,4.136364109469761,17.225613797815143,-0.5978370007556204,7.226209010100671,1,4,2021,1,8,2021
78.0,1,0.0,59.0,900.0,640665,3.6343479114659494,17.227854880988264,1.0986122886681098,6.733401891837359,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1250.0,611993,2.612623125799206,17.225724402217104,-0.5108256237659907,7.143617602704121,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1222.0,628377,5.31938856386891,17.221775643761838,0.03922071315328133,6.76224383988178,1,4,2021,1,4,2021
28.0,1,1.0,38.0,1250.0,611993,3.7724715985388366,17.225613797815143,-0.5108256237659907,7.165493475060845,1,4,2021,1,8,2021
78.0,1,0.0,59.0,900.0,640665,6.0521507738503235,17.227854880988264,0.9162907318741551,6.727431724850855,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1250.0,611993,2.9436538394459526,17.225724402217104,-0.5108256237659907,7.138073034044347,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1180.0,628377,6.664945202498665,17.221775643761838,-0.7985076962177716,6.792995169676452,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.395464376927315,17.225724402217104,-0.5108256237659907,7.147559271189454,1,4,2021,1,7,2021
78.0,1,0.0,59.0,900.0,640665,6.664945202498665,17.227854880988264,1.0986122886681098,6.723832440821209,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1250.0,611993,2.5943720324396793,17.225724402217104,-0.6931471805599453,7.20414929203594,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1160.0,628377,4.811710107975546,17.221775643761838,-0.7985076962177716,6.7963543343884565,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1250.0,611993,2.6775222881645524,17.225724402217104,-0.2231435513142097,7.093404625868766,1,4,2021,1,7,2021
78.0,1,0.0,59.0,900.0,640665,4.578749755364463,17.227854880988264,1.3862943611198906,6.717804695023691,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1000.0,611993,2.91403403662282,17.225724402217104,-0.2231435513142097,7.108244139731541,1,4,2021,1,7,2021
78.0,1,0.0,28.0,1134.0,628377,4.861567743472305,17.221775643761838,0.22314355131420976,6.740022782431475,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.927491444390881,17.225724402217104,-0.2231435513142097,7.101675971619444,1,4,2021,1,7,2021
78.0,1,0.0,59.0,900.0,640665,4.4994463252173125,17.227854880988264,0.6931471805599453,6.729824070489475,1,4,2021,1,5,2021
28.0,3,1.0,10.0,1250.0,611993,2.404190657940089,17.225724402217104,-0.2231435513142097,7.095064377287131,1,4,2021,1,7,2021
78.0,1,0.0,28.0,900.0,628377,4.953346415040208,17.221775643761838,-0.7985076962177716,6.804148779693367,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1500.0,611993,2.4431438378377863,17.225724402217104,-0.2231435513142097,7.0925737159746784,1,4,2021,1,7,2021
28.0,1,0.0,10.0,915.0,628377,4.0668179081564055,17.221904679817747,-0.5108256237659907,6.831953565565855,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.276095914710542,17.225724402217104,-0.2231435513142097,7.095064377287131,1,4,2021,1,7,2021
113.0,1,0.0,41.0,1250.0,611993,5.084364603995046,17.22854194080274,-0.6931471805599453,7.195187320178709,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1000.0,611993,2.7780128431873914,17.225724402217104,0.0,7.086737934510577,1,4,2021,1,7,2021
25.0,1,1.0,41.0,1320.0,164141591,4.301878422559947,17.223449762381453,0.0,6.866933284461882,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.563422811344221,17.225724402217104,-0.5108256237659907,7.1592919047975645,1,4,2021,1,7,2021
113.0,1,0.0,41.0,1250.0,611993,5.3953066839931845,17.22854194080274,-0.6931471805599453,7.19668657083435,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1500.0,611993,2.294160345660339,17.225724402217104,-0.2231435513142097,7.087573705557973,1,4,2021,1,7,2021
25.0,1,1.0,41.0,1225.0,164141591,4.654752606715591,17.223449762381453,0.0,6.890609120147166,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1500.0,611993,2.640755136810322,17.225724402217104,0.22314355131420976,7.063903961472068,1,4,2021,1,7,2021
32.0,1,0.0,59.0,1389.0,628377,3.3039294293713133,17.22829303912745,0.26236426446749106,6.848005274576363,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1500.0,611993,2.7386764670585415,17.225724402217104,-0.6931471805599453,7.143617602704121,1,4,2021,1,7,2021
25.0,1,1.0,41.0,1444.0,164141591,3.7440769098233044,17.223449762381453,0.6931471805599453,6.85751406254539,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1000.0,611993,2.8435652564662304,17.225724402217104,-0.5108256237659907,7.143617602704121,1,4,2021,1,7,2021
28.0,1,1.0,10.0,1250.0,1332077137,4.008329558869176,17.22328552646122,-0.2231435513142097,6.879355804460439,1,4,2021,1,8,2021
28.0,3,1.0,10.0,1250.0,611993,2.814420256203567,17.225724402217104,-0.6931471805599453,7.168579897264035,1,4,2021,1,7,2021
78.0,1,0.0,10.0,1640.0,640665,3.5117940124116602,17.229782658419744,2.5649493574615367,6.720220155135295,1,4,2021,1,6,2021
28.0,3,1.0,10.0,1500.0,611993,2.7494793546241287,17.225724402217104,-0.2231435513142097,7.0925737159746784,1,4,2021,1,7,2021
77.0,1,0.0,56.0,1330.0,164141591,3.481924186672357,17.227645011213568,0.14842000511827322,7.011213987350367,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.922829260453129,17.225724402217104,0.0,7.078341579557671,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.5140762384305178,17.229782658419744,1.0986122886681098,6.945051063725834,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.85339778599516,17.225724402217104,-0.5108256237659907,7.151485463904735,1,4,2021,1,7,2021
79.0,1,0.0,10.0,779.0,640665,3.089488603576965,17.223805723986448,0.4054651081081644,6.812345094177479,1,4,2021,1,4,2021
28.0,3,1.0,10.0,1500.0,611993,2.396697981786,17.225724402217104,-0.35667494393873245,7.102499355774649,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.2404818689519077,17.229782658419744,1.3862943611198906,6.9440872082295275,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1000.0,611993,2.769780761104286,17.225724402217104,0.0,7.234177179749849,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1250.0,164141591,3.280220649582139,17.224497588050635,0.3364722366212129,6.9865664594064265,1,4,2021,1,9,2021
28.0,3,1.0,10.0,1000.0,611993,2.7635536511335963,17.225724402217104,-0.10536051565782628,7.097548850614793,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.334423732307736,17.229782658419744,1.8484548129046001,6.949856455000773,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1500.0,611993,2.9371540945006913,17.225724402217104,0.6931471805599453,7.068172000388042,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1109.0,164141591,3.4487793502253825,17.224497588050635,0.8754687373538999,6.961296045910167,1,4,2021,1,9,2021
28.0,3,1.0,10.0,1250.0,611993,2.9045921088387185,17.225724402217104,0.09531017980432493,7.249215057114389,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.454199100328193,17.229782658419744,1.9459101490553132,6.945051063725834,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.645723659466501,17.225724402217104,0.09531017980432493,7.2640301428995295,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1250.0,164141591,5.994460015708916,17.224497588050635,0.3364722366212129,6.977281341630747,1,4,2021,1,9,2021
28.0,3,1.0,10.0,1250.0,611993,2.2675311132177707,17.225724402217104,-0.5108256237659907,7.343426229147367,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.2831080633560297,17.229782658419744,2.302585092994046,6.953684210870537,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.307161435546519,17.225724402217104,-0.2231435513142097,7.084226422097916,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1250.0,164141591,5.996217798986294,17.224497588050635,0.6418538861723947,6.975413927455952,1,4,2021,1,9,2021
28.0,3,1.0,10.0,1000.0,611993,2.865984566326711,17.225724402217104,-0.5978370007556204,7.393239705191865,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.5056822594610253,17.229782658419744,2.4849066497880004,6.955592608396297,1,4,2021,1,7,2021
28.0,3,1.0,10.0,1250.0,611993,2.9689112522078416,17.225724402217104,-0.5978370007556204,7.393239705191865,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1230.0,164141591,4.0380959670774565,17.224497588050635,-0.5108256237659907,6.996681488176539,1,4,2021,1,9,2021
28.0,3,1.0,10.0,1250.0,611993,2.4873820866976626,17.225724402217104,-0.5108256237659907,7.136483208590247,1,4,2021,1,7,2021
78.0,1,0.0,10.0,900.0,640665,3.975747122653859,17.229782658419744,2.70805020110221,6.96979066990159,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1250.0,164141591,3.9271979353527944,17.224497588050635,-0.5108256237659907,7.001245622069476,1,4,2021,1,9,2021
28.0,1,1.0,10.0,1500.0,628377,4.028252421509065,17.22328552646122,-0.35667494393873245,6.949856455000773,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1100.0,640665,4.08962544786377,17.229782658419744,1.0986122886681098,6.9440872082295275,1,4,2021,1,7,2021
26.0,1,1.0,41.0,1306.0,628377,5.3054034404198624,17.223308839008634,0.14842000511827322,6.9930151229329605,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1250.0,164141591,3.3420133925525892,17.224497588050635,0.5306282510621704,6.9726062513017535,1,4,2021,1,9,2021
27.0,1,0.0,59.0,1000.0,628377,3.458211447139936,17.223305660056898,-0.5108256237659907,6.8966943316227125,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1100.0,640665,4.058494741488389,17.229782658419744,1.3862943611198906,6.93828448401696,1,4,2021,1,7,2021
27.0,1,0.0,59.0,1250.0,628377,3.306179831537589,17.223305660056898,-0.5108256237659907,6.881411303642535,1,4,2021,1,8,2021
77.0,1,0.0,42.0,1250.0,164141591,3.192621381044147,17.224497588050635,0.22314355131420976,6.976348070447749,1,4,2021,1,9,2021
27.0,1,0.0,59.0,1500.0,628377,3.003323160235343,17.223305660056898,-0.5108256237659907,6.875232087276577,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1100.0,640665,3.9927313959164743,17.229782658419744,1.8484548129046001,6.943122422819428,1,4,2021,1,7,2021
78.0,1,1.0,10.0,1250.0,1668701718,6.314514136526811,17.22221040658372,0.0,7.037905963447182,1,4,2021,1,9,2021
77.0,1,0.0,42.0,1109.0,164141591,3.4574551165310656,17.224497588050635,0.8754687373538999,6.981934677156389,1,4,2021,1,9,2021
78.0,1,1.0,10.0,1500.0,1668701718,5.617447218499904,17.22221040658372,0.0,7.038783541388542,1,4,2021,1,9,2021
78.0,1,0.0,10.0,1100.0,640665,4.059196579936495,17.229782658419744,1.9459101490553132,6.947937068614969,1,4,2021,1,7,2021
78.0,1,1.0,10.0,1250.0,1668701718,6.307940504630143,17.22221040658372,0.6931471805599453,7.001245622069476,1,4,2021,1,9,2021
77.0,1,0.0,42.0,1260.0,164141591,3.277359987559099,17.224497588050635,0.883767540168595,7.007600613951853,1,4,2021,1,9,2021
78.0,1,1.0,10.0,1500.0,1668701718,5.641286049420759,17.22221040658372,0.6931471805599453,7.00397413672268,1,4,2021,1,9,2021
78.0,1,0.0,10.0,1100.0,640665,4.088881242934263,17.229782658419744,2.0794415416798357,6.9440872082295275,1,4,2021,1,7,2021
77.0,1,0.0,56.0,1330.0,164141591,3.529681373899132,17.227645011213568,0.1823215567939546,7.010311867307229,1,4,2021,1,7,2021
77.0,1,0.0,42.0,960.0,164141591,3.3454237525650776,17.224497588050635,0.6931471805599453,6.980075940561763,1,4,2021,1,9,2021
77.0,1,0.0,56.0,1700.0,164141591,3.5476574253562476,17.227645011213568,-0.35667494393873245,7.081708586105575,1,4,2021,1,7,2021
78.0,1,0.0,10.0,1100.0,640665,4.082987726804963,17.229782658419744,2.302585092994046,6.951772164398911,1,4,2021,1,7,2021
77.0,1,0.0,56.0,1700.0,164141591,3.686058228446669,17.227645011213568,-0.10536051565782628,7.050122520269059,1,4,2021,1,7,2021
77.0,1,0.0,42.0,1010.0,164141591,3.189917631740887,17.224497588050635,0.8754687373538999,6.984716320118266,1,4,2021,1,9,2021
77.0,1,0.0,56.0,1700.0,164141591,3.6251019928967807,17.227645011213568,0.09531017980432493,7.04141166379481,1,4,2021,1,7,2021
78.0,1,0.0,10.0,1100.0,640665,3.9519687153231504,17.229782658419744,2.4849066497880004,6.951772164398911,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1240.0,1668701376,3.544814604334003,17.223269498769607,0.0,6.9975959829819265,1,4,2021,1,8,2021
77.0,1,0.0,42.0,1250.0,164141591,3.208391264651935,17.224497588050635,0.6523251860396901,7.007600613951853,1,4,2021,1,9,2021
39.0,1,1.0,56.0,1250.0,1668701376,3.3759472298506736,17.223269498769607,0.1823215567939546,6.999422467507961,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1100.0,640665,4.038324880603974,17.229782658419744,2.70805020110221,6.954638864880987,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1050.0,1668701376,4.031107864633313,17.223269498769607,0.0,6.984716320118266,1,4,2021,1,8,2021
77.0,1,0.0,42.0,1250.0,164141591,3.402688816253793,17.224497588050635,0.6418538861723947,6.9782137426306985,1,4,2021,1,9,2021
39.0,1,1.0,56.0,1090.0,1668701376,4.076922529121658,17.223269498769607,0.0,6.988413181999592,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1500.0,640665,4.00926630918015,17.229782658419744,1.0986122886681098,6.940222469119639,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1405.0,1668701376,3.302265188881181,17.223269498769607,0.0,7.003065458786462,1,4,2021,1,8,2021
78.0,1,1.0,10.0,800.0,1668701718,1.8631974294034146,17.224127116013786,0.0,7.059617628291383,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1050.0,1668701376,4.916982043160154,17.223269498769607,0.0,7.018401799069201,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1500.0,640665,3.9416006274925963,17.229782658419744,1.3862943611198906,6.942156705699469,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1240.0,1668701376,4.52838653539733,17.223269498769607,0.0,7.0192966537150445,1,4,2021,1,8,2021
78.0,1,1.0,10.0,1000.0,1668701718,1.729562608351697,17.224127116013786,0.0,7.026426808699636,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1255.0,1668701376,3.288439103988449,17.223269498769607,0.0,7.040536390215956,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1500.0,640665,3.9150214079232,17.229782658419744,1.8484548129046001,6.939253946041508,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1250.0,1668701376,3.0775043190605222,17.223269498769607,0.4054651081081644,7.004881989712859,1,4,2021,1,8,2021
78.0,1,1.0,10.0,1000.0,1668701718,2.4160324971465448,17.224127116013786,0.4054651081081644,7.014814351275545,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1050.0,1668701376,3.0838730586471157,17.223269498769607,0.1823215567939546,7.025538314638521,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1500.0,640665,3.9420141378908315,17.229782658419744,1.9459101490553132,6.948897222313312,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1055.0,1668701376,3.7508599650030714,17.223269498769607,0.1823215567939546,7.0192966537150445,1,4,2021,1,8,2021
78.0,0,1.0,10.0,1500.0,1668701718,2.1654803774774707,17.224127116013786,0.0,7.133295954896068,1,4,2021,1,7,2021
39.0,1,1.0,56.0,1155.0,1668701376,3.2495816645446896,17.223269498769607,0.1823215567939546,7.02197642307216,1,4,2021,1,8,2021
78.0,1,0.0,10.0,1500.0,640665,3.516819585735957,17.229782658419744,2.0794415416798357,6.9440872082295275,1,4,2021,1,7,2021
77.0,0,0.0,10.0,1500.0,164141591,3.677654510244118,17.22222575511107,0.0,7.110696122978827,1,4,2021,1,8,2021
